dhi,dni,ghi,gti,wind_speed_100m,period_end
0,0,0,0,7.1,2020-01-01T01:00:00Z
0,0,0,0,7.2,2020-01-01T02:00:00Z
0,0,0,0,7.4,2020-01-01T03:00:00Z
0,0,0,0,7.5,2020-01-01T04:00:00Z
0,0,0,0,7.5,2020-01-01T05:00:00Z
0,0,0,0,7.5,2020-01-01T06:00:00Z
0,0,0,0,7.2,2020-01-01T07:00:00Z
0,0,0,0,6.9,2020-01-01T08:00:00Z
0,0,0,0,6.7,2020-01-01T09:00:00Z
0,0,0,0,6.5,2020-01-01T10:00:00Z
0,0,0,0,6.1,2020-01-01T11:00:00Z
0,0,0,0,6.3,2020-01-01T12:00:00Z
4,14,5,9,6.9,2020-01-01T13:00:00Z
65,117,82,117,7.5,2020-01-01T14:00:00Z
138,180,186,251,8.1,2020-01-01T15:00:00Z
210,84,240,269,8.2,2020-01-01T16:00:00Z
213,0,213,206,7.8,2020-01-01T17:00:00Z
193,0,193,187,7.7,2020-01-01T18:00:00Z
200,0,200,194,7.5,2020-01-01T19:00:00Z
168,0,168,163,7.1,2020-01-01T20:00:00Z
72,411,145,270,6.3,2020-01-01T21:00:00Z
14,168,30,76,4.7,2020-01-01T22:00:00Z
0,0,0,0,3.5,2020-01-01T23:00:00Z
0,0,0,0,3.7,2020-01-02T00:00:00Z
0,0,0,0,4.1,2020-01-02T01:00:00Z
0,0,0,0,4.6,2020-01-02T02:00:00Z
0,0,0,0,4.9,2020-01-02T03:00:00Z
0,0,0,0,5.2,2020-01-02T04:00:00Z
0,0,0,0,5.4,2020-01-02T05:00:00Z
0,0,0,0,5.3,2020-01-02T06:00:00Z
0,0,0,0,5.1,2020-01-02T07:00:00Z
0,0,0,0,5,2020-01-02T08:00:00Z
0,0,0,0,5.2,2020-01-02T09:00:00Z
0,0,0,0,5.6,2020-01-02T10:00:00Z
0,0,0,0,5.6,2020-01-02T11:00:00Z
0,0,0,0,5.2,2020-01-02T12:00:00Z
3,33,6,14,4.9,2020-01-02T13:00:00Z
30,556,110,264,4.7,2020-01-02T14:00:00Z
44,781,254,494,4,2020-01-02T15:00:00Z
52,864,368,655,3.7,2020-01-02T16:00:00Z
189,349,334,470,4.4,2020-01-02T17:00:00Z
248,85,285,315,4.9,2020-01-02T18:00:00Z
151,458,331,502,5,2020-01-02T19:00:00Z
86,601,268,462,5.2,2020-01-02T20:00:00Z
72,323,140,241,5.7,2020-01-02T21:00:00Z
18,0,18,18,6.1,2020-01-02T22:00:00Z
0,0,0,0,6.3,2020-01-02T23:00:00Z
0,0,0,0,6.2,2020-01-03T00:00:00Z
0,0,0,0,5.9,2020-01-03T01:00:00Z
0,0,0,0,5.5,2020-01-03T02:00:00Z
0,0,0,0,4.8,2020-01-03T03:00:00Z
0,0,0,0,4.2,2020-01-03T04:00:00Z
0,0,0,0,4.3,2020-01-03T05:00:00Z
0,0,0,0,4.3,2020-01-03T06:00:00Z
0,0,0,0,3.7,2020-01-03T07:00:00Z
0,0,0,0,3.2,2020-01-03T08:00:00Z
0,0,0,0,2.9,2020-01-03T09:00:00Z
0,0,0,0,2.6,2020-01-03T10:00:00Z
0,0,0,0,2.4,2020-01-03T11:00:00Z
0,0,0,0,2.5,2020-01-03T12:00:00Z
0,0,0,0,2.5,2020-01-03T13:00:00Z
27,0,27,26,2.5,2020-01-03T14:00:00Z
